Star,Feedback 
5,Хороший крем. Рекомендую
4,"крем сам по себе очень приятный, ложится хорошо не оставляет жирной пленки. Но коробка была вся поюзаная. "
5,"Нежная текстура, приятный аромат"
5,Рекомендую
5,"Отличный лёгкий крем с приятным запахом
 Действительно, морщинки разглаживает, но надо пользоваться постоянно
 Рекомендую"
5,"Все подошло, спасибо! Для сухой кожи самое то, хорошее увлажнение"
5,"Крем лёгкий, хорошо впитывается, нет жирности и липкости,  рекомендую!"
5,"Крем мне очень нравится, заказываю уже второй раз, доставка быстрая. Спасибо!"
3,"Крем жирный, оставляет пленку на лице. Мало чем отличается от ночного. Да к тому же доставка более 2 недель!"
5,Замечательный крем
5,👍👍👍👍👍🔥🔥🔥🔥🔥🔥
5,"Мой любимый крем, перепробовала разные, в т ч и другие линейки лореаль и возвращаюсь к нему. Не скатывается, быстро впитывается и увлажняет. Беру всю линейку, жаль подарожал."
5,"Для меня это лучший крем уже не первый год. отличное увлажнение, не вызывает прыщей, кожа сияет. "
5,"С виду красиво, а качество не могу оценить, первый раз только взяла"
5,"Хороший крем, рекомендую."
5,Упакован хорошо. Спасибо продавцу. Купила в подарок.
5,"Я всегда пользовалась L'Oreal. Но именно этот крем ничего особенного не показал. Средняя цена и средний эффект. У меня после него на лице жирная плёнка, как будто он до конца не впитывается. Крутого эффекта не ощутила. Однако для ежедневного пользования он будет подходить, и как питательный и как разглаживающий. Каждому хоть раз в жизни надо попробовать этот крем, а может он именно для Вас!"
3,"После нанесения щиплет, не приятно"
5,Хороший крем
1,Крем пришёл без заводской плёнки
5,Шикарный крем.
5,Хороший крем. Легкий. Для комбинированной кожи отлично подходит. Увлажняет и нет жирного блеска.
5,"Крем пришел без заводской пленки,но крем нравится,кожа становится гладкой,защищённой."
5,"Купил жене. Оказался для молодых, а у нас возраст."
5,"Пришло быстро,за 2 дня хорошо упаковано,все целое.Крем хорошо впитывается, приятно пахнет, спасибо большое 🥰"
5,"Замечательный крем, после нанесения коже очень комфортно, прекрасно подходит под макияж."
5,"Отличный крем, брала комплекс; дневной, ночной , и крем вокруг глаз. Очень 🔥 но цена очень подскочила "
5,"Упаковка полностью запечатана, к покупке рекомендую"
5,"Заказываю второй раз, все супер 🤪👍👏"
5,"Беру не в первый раз, отличный"
2,После применения отёки
5,Отличный крем
5,"Крем по своей текстуре плотный, впитывается быстро."
5,Крем понравился 
4,"Хороший, но мне на весь день увлажнения не хватает. Требуется наносить аж 2-3 раза, иначе кожа быстро становится сухая. Приятный аромат. "
3,"Здравствуйте, крем должен закрыт плёнкой, так каждый может залезть в баночку..."
3,"Пришёл без заводской пленки, защита на баночке скручена."
1,"Добавлен очень сильный ароматизатор, который Лореаль никогда не использует.  Подделка!!!"
3,Отсутствует заводская упаковка товара.
5,Хороший крем.
5,Хороший крем.Консистенция плотная.Запах легкий и приятный.Пришел в простом целлофановом пакетике.
5,Мне понравился. Впитывается хорошо. 
5,"Хороший крем, пришёл быстро."
1,"1 звезда за доставку. Оплатила и заказала крем 16 марта. Сегодня 1 апреля, крема до сих пор нет. Доставка в Подмосковье. "
5,Очень понравился. Буду заказывать ещё.
5,"Отличный крем! Хорошая, лёгкая текстура, отлично впитывается"
5,"Мне подошёл, хороший, рекомендую "
5,👍👍👍👍🌹🌹🌹
5,Не стала писать отзыв сразу сначала по пользовалась крем чтоб понять подходит он мне или нет. У меня комбинированая кожа и хочу сказать что мне очень понравился этот крем. У меня кожа стала бархотистой и гладкой. Спасибо за крем. Буду покупать ещё.
5,"Крем понравился, пришёл в упаковке с пупырышками) 
Ровно ложится, мягкий по консистенции!"
5,"Крем очень хороший, даже суперский"
5,Коробка помялась но внутри все целое
5,"Всё отлично, крем хороший, дошел быстро.Была небольшая проблема, не отражался заказ, но , как позже выяснилось, был сбой на момент моей покупки, но всё наладилось позже.Рекомендую)"
5,Отличный крем! Пользуюсь уже в течении года. Всё ок!
5,Жене понравилось.
5,"От крема этого тащусь! Структура хорошая, нежно и бережно ложиться, жирного блеска нет, при этом хорошо увлажняет!"
5,"Доставка быстрая. Товар упакован. Покупаю  не в первый  раз, крем  нравится."
5,"Успела взять за 324р 3 штуки. Дошло всё в идеальном состоянии, надеюсь не снимут с производства."
1,Использовала этот крем два дня подряд всё лицо высыпало прыщами
5,Качество крема нравится
5,"Крем хорошо разглаживает и увлажняет кожу. Под макияж подходит хорошо, но запах навязчивый. Пока не решила стоит ли повторять его. Покупала за 327 р. "
5,"Крем ооочень классный, заказала 2ой раз. Рекоменду👍"
5,"Хороший крем, катышков нет,кожа мягче,нежнее, приятно пахнет"
5,"Отличный крем, мягкий, не жидкий, приятного запаха.
Цена классная"
4,"Нет фольги под крышкой
Сильно удивил такой ""Лореаль из Парижа"". За это сняла звёздочку
Кремами этой фирмы пользуюсь давно, попробую и этот, но с осторожностью."
5,Беру всегда вместе с ночным. Никогда никаких прблем не было. Подорожал только.
5,Отличный крем. Покупаю уже который раз.
5,"Упаковка целая. Больше не скажу, на подарок брала."
5,"Крем хороший,быстро впитывается,приятный запах.На сильно раздражённой коже в первый раз вызвало покраснение,а на нормальной коже вообще идеально ложится.Мне очень нравится.Покупала до повышения цены за 300 рэ🥲"
5,"Крем хороший, легко наносится, не блестит, приятный запах."
2,"Крем не подходит, шипит кожу а, потом краснеет лицо."
5,Крем хороший. Отказ в пользу другого этого же производителя.
5,Рекомендую.
5,"Быстрая доставка, оригинал"
5,"Крем пришел в запаяном пакете, внутри ещё был обернут пупыркой. Коробка заклеена, баночка также заклеена. Защитной мембраны не было. Все целое, пахнет приятно."
5,Хороший крем
5,Крем очень мне подошёл. На сухую кожу очень комфортно. Рекомендую в использовании. Лишнего не надо наносить. Один раз в день с утра на очищенную кожу лица.
5,Впитывается хорошо. Использую под макияж. На счет разглаживания морщин -  так себе.
5,"Увлажняет , он жирнее чем Лореаль 35+, немного блестит на лице ... И крошиться . Но все равно хороший"
5,Беру не первый раз. Крем нравиться
5,Увлажняют хорошо
5,Все отлично. Спасибо за быструю доставку.
2,"После использования этого крема, через время появляются неприятные ощущения, лицо краснеет. Пользуюсь другими линейками от Loreal и такого не было."
5,"Крем упакован в пупырку, пломбочка не нарушена. Срок годности до декабря 2024 года. Особенно порадовала быстрая доставка (всего сутки)"
3,"Всем хорош этот крем, кроме дичайшего блеска на лице. И это не влажный финиш, крем оставляет блеск полностью впитавшись. Слегка припудрить не выйдет, приходится наносить слой средней плотности. С таким успехом можно просто пудру с spf25 использовать, а я не всегда хочу наносить косметику. В общем, разочарована."
4,"Без защитной пленки. Наклейка защитная была. Крем хороший, а запах - крышеснос!"
5,Крем действительно очень хороший!
5,"Мой любимый крем, беру его зимой,т.к.жирный, хорошо питает кожу,немного блестит,но не критично,под тоналку ложится хорошо,стоит своих денег."
3,"Получила крем без целофанновой упаковки, внутри тюбика не было герметичной плёнки. Насколько качественный крем? Неизвестно. "
5,"Крем отличный, после применения кожа бархатистая, увлажненная, не жирный. Заказывала за 350-цена супер!"
5,"Хороший крем. Но мне не подошёл сильно жирный и плотный, до конца не впитывается в кожу."
4,"Очень жаль что крем поступил без целлофановой упаковки, непонятно зачем надо было проводить распаковку товара, возникают подозрения на подделку "
3,"Очень расстроилась, баночка не родная . Сразу не проверила"
3,"Крем не понравился, по ощущениям, как мазь. На коже блестит."
5,Отлично упаковано
5,Отличный крем
5,"Упаковано отлично,пока не пользовалась"
5,"Пришёл быстро, спасибо"
4,"Нравится крем, но странно, что отсутствовала «защитка», терпеть не могу, когда крем по всей крышке при открытии."
5,Крем понравился. Рекомендую.
5,"Покупаю не в первый раз!!!! Мне очень нравится, кожа стала лучше)"
5,"Очень,хороший крем"
4,"Посмотрим качество крема по истечению времени, сама текстура крема не очень, чувствуется на коже как аптечная мазь."
5,"Крем хороший, беру на лето он полегче и увлажняет хорошо. Мне подходит"
3,Крем был не запечатан и как буд то самаго крема мало.
5,Посоветовали крем после. Процедур касметических. Сейчас их не делаю. Буду восстанавливать кремом лицо. От морщиносек
5,Обожаю его
5,Крем для лица вообще супер
1,"Очень жирный, оставляет плёнку."
5,Лёгкий нежный хорошо ложиться на кожу.
5,Приятный аромат. Хорошо увлажняет.
5,Рекомендую
3,"Крем пришёл просто в коробке, без слюды. Неприятно."
5,Все отлично. Упакован отлично. Нет повреждений.  Спасибо
5,Хороший увлажняющий уход
1,В магазине дешевле!!!
1,"Шок. Получила крем, на выдаче решила посмотреть . Думаю чего-то он легко открылся... но взяла и только дома увидела что его до меня кто-то вскрыл. Т.к. скотч соединяющий  крышку и баночку оказ был кем-то надрезан. И точно не мной. Теперь  я не уверена  что в банке вообще ТОТ крем. Т.к. купила я его первый раз. Безсовестные."
1,"Нет герметичной пленки, целостность товара нарушена. Жаль, заметила только дома. Отвратительно."
5,Всё пришло целое. Коробка не мятая. Крем запечатан. Сам крем очень понравился. Запах приятный. Экономичный. Теперь закажу ночной.
4,Упаковка немного помята
5,"Кремушка очень понравилась! Пользуюсь 10 дней, а эффект уже есть. Кожа стала выглядеть свежее и менее пористой. Мне этот крем отлично подошел (кожа комбинированная). Спасибо огромное! 
Отдельное спасибо девочкам в пункте выдачи! "
5,"Крем отличный. Отказ, т к нашла дешевле."
5,Любимый крем. Упаковано отлично 
1,"Получила крем без целофанновой упаковки,внутри тюбика не было герметичной плёнки.Не довольна товаром."
5,"Крем отличный, спасибо большое продавцу."
5,Хороший крем. Покупала в подарок
5,Крем понравился
1,"Даже не знаю качества, коробка без целофана снаружи, хотя самый дешёвый крем упаковывается, здесь банка как будто была в употреблении, заплати думай применять или нет, я очень брезгливая
."
5,спасибо   супер
5,Классный!!!! Ещё буду брать!!!!
4,"Жирноват,больше для сухой кожи"
5,"Приятный питательный крем, рекомендую"
4,"К самому крему претензий нет, свое дело делает, увлажняет очень хорошо и дешевле, чем в магазинах. Но доставка это отдельный разговор🤦🏻‍♀️ Брала на подарок, мало того, что наклейки прямо на коробки наклеили, так еще и коробка вся драная. Пришлось дарить без коробки, стремно же"
5,"Второй раз беру, мне нравится"
5,"Сам крем густой, у кого жирная кожа то на лице будет блестеть, особенно летом. Мне он к сожалению не подошёл (зажгло лицо и покраснело)"
5,"Хорошая текстура, не скатывается!"
4,"Срок до 24,пришёл в помятой коробке, без слюды, надеюсь не подделка."
1,"Крем пришёл просто без какой-либо упаковки, даже заводской пленкой коробка не запакована. Хорошо, что не разбитая. Как так? Ведь этот товар не возвратный! Менеджер не разрешает даже коробку аккуратно открыть, чтобы проверить целостность баночки! Взяла на свой страх и риск. "
2,Мне не подошёл крем. Хотя кожа требует увлажнения. Но этот крем ложится жирной плёнкой. Не впитывается. Использую на ночь мои под макияж. Хотя крем вокруг глаз из этой линейки очень даже хорошо ложится и впитывается.
5,"Доставка быстрая, всё целое. Крем ходовой"
5,"Упаковка качественная, это большой плюс. На вб раньше заказывала косметику и приходила без упаковки, аля б/у, сомнительная. Тут я уверена что крем целый)  по качеству крема нечего не могу сказать, стандартный бюджетный. Эффекта маски нет."
5,"Упаковка целая, крем тоже
Сроки в порядке 
Упаковка без слюды,но специально заклеена"
2,"Кожа комбинированная.
Ощущение плёнки на лице."
5,"Мама пользуется каждый день, кожа стала заметно лучше!"
5,"Все ок. В деле увидим. Лёгкая текстура, хорошо увлажняет
"
5,Для моей сухой кожи хотелось бы дневной крем чуть жирнее. Ночной мне больше подошёл. Однако консистенция и у дневного хороша.
5,Хороший крем
5,Понравился крем 
5,Всё отлично
1,После нескольких нанесений лицо покрылось красными пятнами. Как будто съела 10 кг апельсин. Аллергия! Не рекомендую
5,"Пришел быстро, в целой упаковке.
Хороший крем, рекомендую."
5,"Крем пришел в мятой открытой коробке, остальные кремы были упакованы в целлофан"
3,Для успокоения.
3,"Крем пришёл в мятой открытой коробке, как будто ее вскрывали.Внутри крем закрыт.Заказывала ещё ночной тот весь герметично упакован."
4,"Коробка пришла не упакованная, мятая, вскрытая, но сама баночка целая. Т.к. отсутствует какая-либо пленка внутри баночки, то непонятно, успел ли им кто-нибудь воспользоваться или нет, но вроде все нормально. Странно, что вместе с этим кремом заказала и другую доп. продукцию (Ночной крем и тд), все пришло целое, каждый товар был отдельно упакован."
5,Очень хороший крем
4,"Беру 2 раз, понравилось."
5,"Понравился, давно хотела купить"
5,"Я прошу пусть  этот    будет доступен  для нашего  региона 
И ночной  крем тоже
Спасибо"
5,"Пришел быстро , пахнет приятно"
1,"Совершенно не понравился крем.Текстура плотная,долго впитывается,а самое главное лицо высыпало мелкими красными пятнами,т.е. вызвал аллергию.У меня комбинированная кожа и я не аллергик.Обидно,деньги на ветер."
5,"Очень хорошо был обмотан скотчем, и пузырчаткой пленкой. Пришел целый, даже коробочка не помялась. Раньше покупала  этот крем для  мамы. Мама осталась довольна. Сейчас взяла для себя. Запах нормальный, консистенция тоже"
1,Мне щиплет лицо. По консистенции приятный
5,"Отличный  крем, впитывает моментально, запах приятный."
1,"Лицо и шея покраснели после первого использования, лицо жжёт! Ужас ! Никогда не было аллергии на крема "
2,Появились красные пятна на лице после первого использования.
3,"Первый раз вижу чтобы крема от L’Oreal Paris были так упакованы. Без пленки на коробке, и в самой баночке без защитной пластиковой крышечки. По срокам годности нормальная до 2024г. "
5,пришло все целое упакованно!
4,"Упаковка не открывалась, но слюды на коробке не было. Такой товар не подлежит возврату и осматривать его должны на стойке выдачи не снимая упаковку."
3,"Крем сам по себе отличный, действительно разглаживает морщинки, ставлю три звезды за упаковку, пришла не как обычно в магазинах упаковано, а просто в коробочке"
5,Упаковка не пятая. Взяла в подарок
5,Всё хорошо спасибо большое
5,Запах обалденный лично для меня. Кожа перестала шелушится))
2,"Качественный крем, не может быть без фольги, полная крышка крема, только подделки продают без защиты продукта."
4,"Использую после очень качественного очищения кожи. Есть небольшой липкий слой, но без жирности. Запах достаточно сильный, но приятный. Есть ощущение лёгкого пощипывания, буду смотреть, как поведет себя кожа.
Густой, на жару не пойдет, но на холодный сезон, вплоть до мая - самое то. Твердая четверка."
5,"Крем хорош. Но еб вашу мать, вайлдберриз! Что с упаковкой?! Неужели нельзя упаковать нормально или относиться к поставкам более бережно? Несмотря на достаточно толстый слой пупырчатой плёнки все равно помят! И наклейка 🤦‍♂️🤦‍♂️🤦‍♂️"
5,"Крем отличный, очень нежный. Сначала показался очень жирным, но впитался мгновенно и блеска на лице не оставил"
5,"Не в первый раз беру, очень нравится крем. Доставка быстрая, упакован хорошо."
4,"Не понравилось, что верх не запечатан. Это так в последнее время у многих кремов. Очень не правильно."
5,"Коробка пришла без полиэтиленновой упаковки, но закрытая"
4,"Пришёл без упаковки, коробка мятая вскрытая, крем вроде целый"
3,"Не понравился, остаётся ощущение липкости. На тёплое время года тяжеловат."
5,"Брал жене, осталась довольна!"
5,Пришло в хорошем состоянии 
5,Добрый день. Кремом довольна.
5,Хороший классный спасибо большое 👍👍👍
5,"Крем заказываю постоянно , мне подходит и очень нравится, рекомендую к покупке. "
4,"Крем неплохой, быстро впитывается, первый раз немного жгло кожу, потом нормально стало."
5,"Крем пришёл хорошо упакован, текстура приятная, отлично увлажняет и приятный аромат!"
4,"Возможно не оригинал, не было крышечки пластиковой отделяющей крышку с резьбой от стеклянной баночки. Наклейка, соединяющая крышку и банку, не совпадает на полоборота. Коробка мятая."
5,"Понравился. Беру не первый раз. Плотный после нанесения, но потом видно впитывается. Кожа стала лучше в зимний период."
1,"Крем подделка, без целлофановой упаковки был, в магазине покупаю такой всегда коробка обтянута целлофаном, и в баночке было половина крема. Отказ."
1,"Я очень огорчена , после использования на третий день стало гореть лицо ,к вечеру появились красные жгучие ожоги ,и отеки . На утро жжение не проходило ,пошла к дерматологу ,выписала мази . 100% подделка . А вы пишете замечательный крем.вот это Эфект на всю жизнь запомню."
5,"Хороший крем. Текстура хорошая. Пришёл хорошо упакован, крем сам запечатан."
5,Крем очень классный
4,"В целом крем понравился, лёгкий, хорошо наносится, без жирного блеска. Коробка была немного помята, заказывала в подарок, в итоге оставила себе."
1,"Аллергия на крем с первого дня, оч редко бывает, не повезло"
5,"Кремом пользуюсь уже второй год, всегда приходит хорошо упакован."
5,Как и все кремы этой серии очень хороший
5,Отличный увлажняющий крем 👍🖤
1,Пришел открытый 👎
5,"Пришло вовремя всё целое,пахнет вкусно,баночка маааленькая.использовала только раз,оставляет чуть липкости, потом нет"
5,"Хороший крем, очень увлажняет, хорошо впитывается"
1,"пришел без салафановой обертки , раньше приходил в ней ,наверное не оригинал"
1,"Крем не понравился!на кожу ложится как пленка и очень блестит,получается такой странный эффект жирной кожи,хотя на ощупь кожа лица мягкая и бархатистая"
5,отличный крем
5,Отличный на весну
5,Еще не пробовала
3,"Доставкой недовольна. Коробка сбоку мятая, заклеена скотчем.. покупала на подарок, очень расстроена..."
5,"Хороший крем,беру не первый раз."
5,Крем хороший))) Спасибо!
5,"Отличный крем, подарила маме, очень понравилось"
1,Подделка. У лореаль совсем другая текстура крема.
5,Увлажняет супер)
5,Крем супер👍👍👍👍
5,Жене понравилось хорошо увлажняет. 
5,"Этим кремом я уже пользовалась,мне он абсолютно походит и я им полностью удовлетворена.Товар пришёл быстро,упаковка целая.Благодарю ❤️🌷"
5,Очень быстро доставили
5,Спасибо всё идиально 👍👍👍
5,Превосходно!
2,"Упаковка мятая,крем был вскрыт"
5,Крем очень хороший.
5,"упакован аккуратно, соответствует, скидка!"
5,"Упакован в полетелен, герметично заклеен. Будем пробовать. Спасибо всем."
5,Всё целое но ещё не пробовала 
5,"Всё норм, крем хороший."
5,Кожа сухая очень. Этот крем мне подошёл. Хорошо питает. Спасибо
5,Приятная текстура 
5,Все отлично!
3,"Очень странно, но коробочка с кремом не была упакована в пленку, индивидульную упаковку. Меня это очченьь насторожило!!! Крем имееет приятный аромат, но жидкий и долго чувствуется на лице, блеск жирный долго держится. В общем использую как ночной!!! Хотя преобретала дневной"
5,Подругу заказала она говорит что хороший
5,"Все пришло в целостности, хороший дневной крем!"
5,"Взяла в подарок  подруге, будет пользоваться расскажет,позже дополню"
5,"Крема пришли в хорошем состоянии. Хотела что нибудь еще заказать к празднику, но к сожалению вайлдберриз то даёт возможность оплачивать при получении, то лишает,а ждать каждый раз возврат, не очень удобно."
5,Заказывала крем для мамы. Ей понравился.
4,"Возврат по причине того, что крем не был в очередной раз без п/ этиленовой плёнки. Крем брала в качестве подарка. За это снимаю звезду."
5,"Крем пришёл очень быстро. Ещё не пробовала, позже отпишусь."
5,Отличный крем
5,"Хороший, но жирноват."
5,Всё целое. Крем отличный.
5,Запах и консистенция Лореалей напоминает мне крема Нивеа синие))
4,Пользуюсь кремом постоянно. Нравится.
5,"Спасибо, люблю такой крем, поэтому взяла❤❤❤😘😘😘👍🏼👍🏼👍🏼"
5,Все пришло в целости. Всё упаковано хорошо.
5,Хороший крем спасибо
4,"Крем очень хороший! Но.... была удивлена, когда при открытии не было защитной мембраны на банке, из-за этого большое количество крема было на крышке. Очень странно, наводит на нехорошие мысли. Снимаю за это звезду."
5,"Спасибо, пришло все как в магазине"
5,Хороший крем. Мне понравился.
4,Всё хорошо 👍
1,Коробка пришла вся мятая
5,"Крем хороший, пришло без повреждений."
5,Хорошо увлажняет кожу
5,"Как по мне, супер крем, нежный к коже и запах приятный. Очень сухая кожа была, крем со всеми недостатками справился. Рекомендую. Но ночной крем, мне не подошёл, скатывается на лице."
5,Хороший крем
5,"Проверенная фирма, заказывал серию ухода для подарка. Качественное. Запаковано отлично было, все целое."
5,"Товар пришел хорошо упакованный. Упаковали так, чтобы при транспортировке не пострадал. Даже коробка на креме без единого залома. Крема, тоники и гели беру постоянно одни и те же. Продукцией от лореаль довольна."
3,Жжение на лице от крема.
1,"Отзыв оставляю не крему, так как еще не пробовала, а его упаковке.... Ужас ужасный. Почему я не поверила предыдущим отзывам!!!! Коробка явно открывалась, никакой защитной пленки, в подарок он уже не годится. Наклейка WB прям на коробке, что портит вид! Банка явно открывалась, там нет никакой дополнительной крышечки.... Я вообще уже неуверена, что им не пользовались, весь крем в нем на ушах стоит.......дааааа уж.... Позор."
1,"Жесть, вот такая доставка"
5,Пришёл в хорошем состоянии. Срок готовности хороший.
2,"Разочарование одно. Без защитной плёнки и не понятное содержание в баночке .Такое чувство, что открыли и уже и попользовались. За это ставлю 2 звезды, большего  не заслуживает"
5,"Запах очень нравится, не липкий, качественный, посмотрим со временем"
5,"Крем бесподобный, очень мне нравится, рекомендую девочки, закончиться буду брать снова. Спасибо, упаковка супер."
2,"Без упаковки, где родная пленка? Внутри неизвестно что..."
5,Доброе утро!Все отлично!Спасибо!
2,"Заказала два кремя,пришли полу пустые,крышечки защитной нет!"
5,Доставка супер!! И по качеству крем очень понравился!
5,"Хорошо упаковано, очень приятный"
2,"Крем пришёл в мятой упаковке, и почему-то не было полиэтиленовой плёнки  сверху на самой коробочке."
4,"Крем пришел без внешней упаковки. Грязная, пыльная  коробочка, очень неприятно."
5,"Все целое, отлично упаковано, срок годности до декабря 2024 года"
4,"Морщинки, конечно, никуда не делись. Ложится маской, если нанести чуть больше даже скатывается. Пользовалась комплексно - сыворотка, дневной и ночной крем. Убралась шелушение, ввровнялся цвет лица"
5,Крем хороший.
5,Крем хороший
3,Лицо жгёт сильно. На лице как будто то килограмм лежит и блестит сильно.
5,"Товар приехал вовремя, без повреждений.Заказом довольна,но есть один существенный минус.Этикетку с кодом клеят прямо на коробку,а не на упаковочную плёнку,немного огорчило,так как крем предназначался в качестве подарка."
4,"Попал крем в глаз ,чуть не ослепла ,использовать на ночь ,потому что лицо блестит как блин на масленицу."
5,"Очень хороший, не скатывается, действительно работает. Рекомендую"
4,"Упаковка в норме. Визуально нравится. Но в использовании не был. Указано на коробочке для какого возраста, мне не подходит.  Такая информация должна быть в рекламе. Снимаю звезду за это."
5,"Все хорошо, буду пробовать"
5,Хороший крем. Мне понравился.
5,Крем классный. Беру уже в третий раз. Обладает отбеливающим эффектом
1,Ответьте на вопрос . Это подделка ? Почему не упакован в пленку ? Ведь в других магазинах продукция лореаль всегда в пленке ? 
5,"Все отлично, спасибо!"
5,"Упаковка целая, все замечательно спасибо продавцу"
5,"Очень нравится текстура, увлажняет; хорошо, что есть spf"
5,Крем хороший
5,"Легкий крем, по ощущениям почти как флюид. Проблему с сезонным шелушением (ветер, холод, солнце) решил на раз."
5,"Отличный крем, результат на лицо "
5,Всё хорошо
4,Почему-то коробочка не была упакована в плёнку....
5,Отличный крем
5,"Крем просто супер,  товар пришёл очень быстро, спасибо большое."
5,"Супер!!! Крем воздушный  хорошо впитывает,  запах нежный."
5,крем хороший
2,Сильное жжение после нанесения! Появились прыщи. ((((( 
1,"КРЕМ ПОДДЕЛКА!!!

 Пользуюсь пару лет, и когда сегодня стала забирать на пункте выдачи, там же вскрыла жёсткий полупрозрачный пакет, сразу стало понятно, что не оригинал, а с садовода или аллика. Коробочка без заводской слюды и сама сильно отличалась по цвету и шрифту от оригинала, естественно отказ. Девочки, вскрывайте на пункте, иначе потом не вернёте."
1,"Крем был открыт, защитная пломба сорвана. Забирала не сама, поэтому не могла видеть. Только дома увидела"
5,"Кремом пользуюсь давно,все хорошо и с упаковкой благодарю"
3,"Получила крем. Упакован был хорошо, но когда открыла, то увидела, что баночка как будто не полная. Пахнет как другой крем, такое чувство, чтоболее дешёвый крем положили в эту баночку. И также как и ночной скатывается на лице. Разочарована, больше не закажу."
5,"Упаковка мятая, а так все хорошо. Спасибо."
5,"Доставили очень быстро, спасибо"
5,Очень хороший крем лицо сияет 
5,"Пользуюсь давно, крем классный , рекомендую "
5,Какой будет результат. Обязательно напишу.
5,"Крнм хорошо запечатан. Упаковка целая. Срок годности хороший, запах приятный."
5,"Крем хороший , хорошо вписывается, рекомендую"
5,"Оьличный крем,результатом довольна"
